Date,PD,ReadedPlots,ExpectedPlots,MissedPlots,OuterAreasPlots,SUCmeanDelay,SUCmaxDelay,CHN,Notes
2015-01-03 08:00,98.21,26699,27185,486,1,98.12,937.5,1.0, 
2015-01-03 04:00,98.75,8670,8780,110,0,96.01,242.1875,1.0, 
2015-01-03 00:00,99.61,761,764,3,0,95.64,101.5625,1.0, 
2015-01-02 20:00,98.52,12747,12939,192,0,99.89,289.0625,1.0, 
2015-01-02 16:00,98.57,22411,22737,326,0,98.98,289.0625,1.0, 
2015-01-02 12:00,98.56,11246,11410,164,0,98.16,140.625,1.0, 
2015-01-02 08:00,98.46,19761,20071,310,0,97.3,203.125,1.0, 
2015-01-02 04:00,98.33,8771,8920,149,1,96.23,132.8125,1.0, 
2015-01-02 00:00,99.08,108,109,1,0,96.66,109.375,1.0, 
2015-01-01 20:00,98.5,8957,9093,136,0,101.04,281.25,1.0, 
2015-01-01 16:00,98.15,17680,18014,334,0,98.5,101.5625,1.0, 
2015-01-01 12:00,99.27,13463,13562,99,0,97.39,273.4375,1.0, 
2015-01-01 08:00,98.32,14134,14375,241,0,98.42,140.625,1.0217914249327862, 
2015-01-01 04:00,98.71,7344,7440,96,0,97.28,101.5625,1.0, 
2015-01-01 00:00,97.81,492,503,11,0,95.58,101.5625,1.0, 
